,,,金額,加購金額,折扣,包數,份數價格
F50100021,滴雞精3入,,474,237,237,,
F50100022,滴雞精7入,,1106,553,553,,
D50200006,1-06秋葵白菜牛肉粥,,240,230,10,4,60
D50600012,2-M3青醬海陸義麵,,180,169,11,4,90
D50500003,2-F寶貝米飯,,80,59,21,2,40
D50300005,1P-05元氣牛肉大寶寶粥150g,,150,105,45,2,75
